10.221.9.196|10.221.9.197|1|normal||0BFF56|0BFF10|02|72155|2772668|0|403
10.221.9.196|10.221.9.197|2|normal||0BFF10|0BFF56|02|66551|2012687|0|0
10.221.9.196|10.221.9.197|3|normal||0BFF56|0BFF1F|02|76061|3137499|0|0
10.221.9.196|10.221.9.197|4|normal||0BFF1F|0BFF56|02|65659|1940230|0|0
10.221.9.196|10.221.9.197|5|normal||0BFF56|0BFF15|02|72390|2800212|0|39
10.221.9.196|10.221.9.197|6|normal||0BFF15|0BFF56|02|66591|2016922|0|0
10.221.9.196|10.221.9.197|7|normal||0BFF56|0BFF05|02|65303|1910838|0|0
10.221.9.196|10.221.9.197|8|normal||0BFF05|0BFF56|02|80929|3802581|0|0
10.221.9.200|10.221.9.201|1|normal||0BFF56|0BFF1F|01|72437|2750324|0|0
10.221.9.200|10.221.9.201|2|normal||0BFF1F|0BFF56|01|65649|1939971|0|0
10.221.9.200|10.221.9.201|3|normal||0BFF56|0BFF15|01|72178|2778985|0|0
10.221.9.200|10.221.9.201|4|normal||0BFF15|0BFF56|01|66587|2016733|0|0
10.221.9.200|10.221.9.201|5|normal||0BFF56|0BFF04|02|65180|1950726|0|0
10.221.9.200|10.221.9.201|6|normal||0BFF04|0BFF56|02|81865|3882196|0|0
10.221.9.200|10.221.9.201|7|normal||0BFF56|0BFF0F|03|72651|2772084|0|0
10.221.9.200|10.221.9.201|8|normal||0BFF0F|0BFF56|03|65612|1935610|0|0
10.221.9.202|10.221.9.203|1|normal||0BFF56|0BFF10|03|72313|2786527|0|0
10.221.9.202|10.221.9.203|2|normal||0BFF10|0BFF56|03|66557|2012869|0|0
10.221.9.202|10.221.9.203|3|normal||0BFF56|0BFF1F|03|72284|2734789|0|0
10.221.9.202|10.221.9.203|4|normal||0BFF1F|0BFF56|03|65648|1939414|0|0
10.221.9.202|10.221.9.203|5|normal||0BFF56|0BFF15|03|75470|3123738|0|0
10.221.9.202|10.221.9.203|6|normal||0BFF15|0BFF56|03|66599|2017115|0|0
10.221.9.202|10.221.9.203|7|normal||0BFF56|0BFF05|03|65306|1910926|0|0
10.221.9.202|10.221.9.203|8|normal||0BFF05|0BFF56|03|80930|3803539|0|0
10.221.9.204|10.221.9.205|1|normal||0BFE7A|0BFF15|01|65152|1950600|0|0
10.221.9.204|10.221.9.205|2|normal||0BFF15|0BFE7A|01|65786|1970050|0|0
10.221.9.204|10.221.9.205|3|normal||0BFE7A|0BFF04|01|65153|1950632|0|0
10.221.9.204|10.221.9.205|4|normal||0BFF04|0BFE7A|01|65785|1970016|0|0
10.221.9.204|10.221.9.205|5|normal||0BFE7A|0BFF0F|03|65294|1910772|0|0
10.221.9.204|10.221.9.205|6|normal||0BFF0F|0BFE7A|03|65398|1911604|0|0
